ID,country2,colldate,year_date
SRR3082089,ALB,2011,2011
SRR3082111,ALB,2011,2011
SRR3082143,ALB,2011,2011
SRR3082131,ALB,2011,2011
ERR757170,ARG,2001,2001
ERR760820,ARG,2002,2002
ERR760832,ARG,2002,2002
ERR760849,ARG,2003,2003
ERR760605,ARG,2003,2003
ERR760790,ARG,2008,2008
ERR760799,ARG,2009,2009
ERR776452,ARG,2005,2005
ERR776466,ARG,2007,2007
ERR776661,ARG,2003,2003
SRR12882038,AUS,NA,NA
SRR12882041,AUS,NA,NA
SRR12882042,AUS,NA,NA
SRR12882043,AUS,NA,NA
SRR12882044,AUS,NA,NA
SRR12882045,AUS,NA,NA
SRR12882046,AUS,NA,NA
SRR12882047,AUS,NA,NA
SRR12882048,AUS,NA,NA
SRR12882049,AUS,NA,NA
SRR12882050,AUS,NA,NA
SRR12882052,AUS,NA,NA
SRR12882053,AUS,NA,NA
SRR12882055,AUS,NA,NA
SRR12882056,AUS,NA,NA
SRR12882057,AUS,NA,NA
SRR12882253,AUS,NA,NA
SRR12882256,AUS,NA,NA
SRR12882257,AUS,NA,NA
SRR12882258,AUS,NA,NA
SRR12882259,AUS,NA,NA
SRR12882261,AUS,NA,NA
SRR12882262,AUS,NA,NA
SRR12882264,AUS,NA,NA
SRR12882265,AUS,NA,NA
SRR12882266,AUS,NA,NA
SRR12882267,AUS,NA,NA
SRR12882268,AUS,NA,NA
SRR12882269,AUS,NA,NA
SRR12882270,AUS,NA,NA
SRR12882271,AUS,NA,NA
SRR12882282,AUS,NA,NA
SRR12882283,AUS,NA,NA
SRR12882284,AUS,NA,NA
SRR12882285,AUS,NA,NA
SRR12882286,AUS,NA,NA
SRR12882288,AUS,NA,NA
SRR5817462,AUS,2013,2013
SRR5817463,AUS,2012,2012
SRR5817464,AUS,2012,2012
SRR5817465,AUS,2016,2016
SRR5817466,AUS,2015,2015
SRR5817467,AUS,2006,2006
SRR5817468,AUS,2016,2016
SRR5817469,AUS,2014,2014
SRR5817470,AUS,2015,2015
SRR5817471,AUS,2007,2007
SRR5817472,AUS,2015,2015
SRR5817473,AUS,2015,2015
SRR5817475,AUS,2006,2006
SRR5817477,AUS,2010,2010
SRR5817478,AUS,2015,2015
SRR5817479,AUS,2010,2010
SRR5817481,AUS,2014,2014
SRR6339636,AUS,2010,2010
SRR6339639,AUS,2016,2016
SRR6339640,AUS,2009,2009
SRR6339641,AUS,2010,2010
SRR6339642,AUS,2013,2013
SRR6339643,AUS,2013,2013
SRR6339644,AUS,2006,2006
SRR6339645,AUS,2013,2013
