parent,node,labnode,labparent
101,  1,1705132_3,Node1
111,  2,1732328_4,Node11
111,  3,ERS5281513,Node11
110,  4,ERR751929,Node10
109,  5,SRR5067279,Node9
119,  6,ERR3256136,Node19
119,  7,SRR6152746,Node19
118,  8,ERR3256231,Node18
120,  9,SRR16096985,Node20
120, 10,SRR6152933,Node20
116, 11,SRR14520037,Node16
115, 12,SRR18213707,Node15
114, 13,SRR12006579,Node14
113, 14,SRR18213714,Node13
123, 15,SAMN02599116,Node23
123, 16,SRR12882323,Node23
122, 17,SRR6797851,Node22
121, 18,SRR6982375,Node21
124, 19,Cosc_SRR5216774,Node24
125, 20,ERR3806662,Node25
125, 21,SRR7131250,Node25
137, 22,1763305_5,Node37
139, 23,ERR5865761,Node39
139, 24,SAMEA7157666,Node39
142, 25,ERS6421057,Node42
142, 26,SRR6785522,Node42
141, 27,SRR14801335,Node41
140, 28,SRR11033679,Node40
136, 29,SRR11662719,Node36
143, 30,SRR11662181,Node43
143, 31,SRR6831795,Node43
150, 32,CRR189318,Node50
150, 33,ERS5301198,Node50
149, 34,ERR2199932,Node49
148, 35,ERS5317343,Node48
147, 36,SRR5067480,Node47
151, 37,ERS5281967,Node51
151, 38,ERS5282704,Node51
145, 39,ERS5300680,Node45
144, 40,CRR189585,Node44
153, 41,CRR189746,Node53
153, 42,SRR1723700,Node53
152, 43,ERS5319373,Node52
155, 44,SRR19325555,Node55
155, 45,SRR5073662,Node55
154, 46,SRR6855684,Node54
156, 47,CRR189936,Node56
156, 48,SRR5535713,Node56
130, 49,DRR188599,Node30
157, 50,DRR188533,Node57
158, 51,SRR11662597,Node58
158, 52,SRR5067627,Node58
128, 53,ERS5298349,Node28
127, 54,CRR189418,Node27
160, 55,ERR190402,Node60
161, 56,ERS5282047,Node61
161, 57,SRR18213948,Node61
163, 58,ERS2394602,Node63
164, 59,ERS5319887,Node64
165, 60,ERS5320053,Node65
165, 61,SRR16100247,Node65
166, 62,ERS5282859,Node66
166, 63,SRR6964559,Node66
171, 64,CRR188991,Node71
171, 65,ERR2179767,Node71
170, 66,SRR10809194,Node70
177, 67,ERR2446384,Node77
177, 68,SRR16089853,Node77
176, 69,G1429,Node76
175, 70,SRR7652984,Node75
178, 71,ERS6420790,Node78
178, 72,SRR6785473,Node78
173, 73,SRR6896538,Node73
179, 74,ERS5320302,Node79
179, 75,SAMN02414966,Node79
180, 76,ERR2513810,Node80
180, 77,SRR5065463,Node80
184, 78,ERR038744,Node84
185, 79,ERR221657,Node85
185, 80,ERR473291,Node85
186, 81,ERR3148220,Node86
186, 82,ERR3256115,Node86
188, 83,ERR779886,Node88
190, 84,ERS6421081,Node90
190, 85,SRR18213727,Node90
189, 86,SRR6485136,Node89
187, 87,SRR18911458,Node87
191, 88,ERS5320441,Node91
191, 89,SRR6856057,Node91
104, 90,DRR188879,Node4
196, 91,ERS5301101,Node96
196, 92,SRR6480340,Node96
195, 93,SRR5818626,Node95
197, 94,SRR5486898,Node97
197, 95,SRR6831765,Node97
193, 96,SRR13180205,Node93
192, 97,SRR9738509,Node92
198, 98,DRR189127,Node98
198, 99,SRR6982209,Node98
101,100,ERR072028,Node1
101,101,Node1,Node1
101,102,Node2,Node1
102,103,Node3,Node2
103,104,Node4,Node3
104,105,Node5,Node4
105,106,Node6,Node5
106,107,Node7,Node6
107,108,Node8,Node7
108,109,Node9,Node8
109,110,Node10,Node9
110,111,Node11,Node10
108,112,Node12,Node8
112,113,Node13,Node12
113,114,Node14,Node13
114,115,Node15,Node14
115,116,Node16,Node15
116,117,Node17,Node16
117,118,Node18,Node17
118,119,Node19,Node18
117,120,Node20,Node17
112,121,Node21,Node12
121,122,Node22,Node21
122,123,Node23,Node22
107,124,Node24,Node7
124,125,Node25,Node24
106,126,Node26,Node6
126,127,Node27,Node26
127,128,Node28,Node27
128,129,Node29,Node28
129,130,Node30,Node29
130,131,Node31,Node30
131,132,Node32,Node31
132,133,Node33,Node32
133,134,Node34,Node33
134,135,Node35,Node34
135,136,Node36,Node35
136,137,Node37,Node36
137,138,Node38,Node37
138,139,Node39,Node38
138,140,Node40,Node38
140,141,Node41,Node40
141,142,Node42,Node41
135,143,Node43,Node35
134,144,Node44,Node34
144,145,Node45,Node44
145,146,Node46,Node45
146,147,Node47,Node46
147,148,Node48,Node47
148,149,Node49,Node48
149,150,Node50,Node49
146,151,Node51,Node46
133,152,Node52,Node33
152,153,Node53,Node52
132,154,Node54,Node32
154,155,Node55,Node54
131,156,Node56,Node31
129,157,Node57,Node29
157,158,Node58,Node57
126,159,Node59,Node26
159,160,Node60,Node59
160,161,Node61,Node60
159,162,Node62,Node59
162,163,Node63,Node62
163,164,Node64,Node63
164,165,Node65,Node64
162,166,Node66,Node62
105,167,Node67,Node5
167,168,Node68,Node67
168,169,Node69,Node68
169,170,Node70,Node69
170,171,Node71,Node70
169,172,Node72,Node69
172,173,Node73,Node72
173,174,Node74,Node73
174,175,Node75,Node74
175,176,Node76,Node75
176,177,Node77,Node76
174,178,Node78,Node74
172,179,Node79,Node72
168,180,Node80,Node68
167,181,Node81,Node67
181,182,Node82,Node81
182,183,Node83,Node82
183,184,Node84,Node83
184,185,Node85,Node84
183,186,Node86,Node83
182,187,Node87,Node82
187,188,Node88,Node87
188,189,Node89,Node88
189,190,Node90,Node89
181,191,Node91,Node81
103,192,Node92,Node3
192,193,Node93,Node92
193,194,Node94,Node93
194,195,Node95,Node94
195,196,Node96,Node95
194,197,Node97,Node94
102,198,Node98,Node2
